experiment_id,timestamp,stage,branch,hypothesis,changed_factor,config_path,baseline_artifact,candidate_artifact,protocol,overall_rt_smape,segment_9_16_rt_smape,overall_rt_capped_smape,segment_9_16_rt_capped_smape,top10_tail_delta_mae,top10_tail_rt_smape,direction_accuracy,positive_direction_recall,spike_or_hard_f1,primary_score_delta,decision,reason,next_action
J0_PROTOCOL_B_A0_2025,2026-06-05T14:05:08,J0,protocol_b_a0_baseline,"A clean SGDFNet-owned delta baseline can establish the 2025 rolling-month reference under Protocol B.","SGDFNet-owned A0 baseline","SGDFNet/configs/protocol_b_a0_baseline.yaml",,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_20260605_140508,"Protocol B",20.832866395530278,36.457028051974866,18.08574024759893,30.777648190831165,115.16156294125356,70.78487029477176,0.7936073059360731,0.777101381409506,,0.0,KEEP,"J0 pass: Protocol B baseline runs end-to-end, clears the overall full-year RT SMAPE target, and becomes the accepted comparison point for future branches.","Advance to J1 feature redesign with focus on reducing 9-16 RT SMAPE."
J1_WEEKLY_HISTORY_A0_V1,2026-06-05T14:06:41,J1,weekly_history_features,"Adding weekly-history lag features may improve recurring regime recall for 9-16 and tail behavior.","Weekly-history feature family","SGDFNet/configs/protocol_b_a0_j1_weekly_history_v1.yaml",outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_20260605_140508,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J1_WeeklyHistory_20260605_140641,"Protocol B",21.02070043799478,36.800638494314036,18.18856733618972,30.972817481473534,116.01798880559892,71.71439590066264,0.7961187214611872,0.7742917349566846,,-0.18783404246450233,REJECT,"Rejected under J1: weekly-history additions regressed both full-year raw RT SMAPE and segment 9-16 RT SMAPE relative to the accepted J0 baseline, while tail metrics also worsened.","Switch to a different J1 feature family; do not micro-tune weekly-history lags."
J1_RESIDUAL_HISTORY_A0_V1,2026-06-05T14:09:39,J1,forecast_residual_history_features,"Historical forecast-residual features may provide leakage-safe bias-correction signal for RT delta, especially in the difficult 9-16 block.","Historical forecast-residual feature family","SGDFNet/configs/protocol_b_a0_j1_residual_history_v1.yaml",outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_20260605_140508,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J1_ResidualHistory_20260605_140939,"Protocol B",20.821066864216913,36.428709262094294,18.130841870539204,30.905073797265114,115.35032034663858,70.62227274833953,0.7961187214611872,0.7656286583938188,,-0.01179953131336561,KEEP,"Kept under J1 because both primary raw metrics improved relative to the accepted J0 baseline. Gains are small and capped/tail metrics are mixed, so this is an incremental baseline upgrade rather than a decisive feature win.","Use the residual-history baseline as the new comparison point and test a different J1 feature family next."
J1_SEGMENT_LOCAL_A0_V1,2026-06-05T14:17:32,J1,segment_local_rolling_stats,"Same-hour cross-day rolling stats may sharpen segment-local regime memory, especially around the 9-16 block.","Segment-local rolling-stat feature family","SGDFNet/configs/protocol_b_a0_j1_segment_local_v1.yaml",outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J1_ResidualHistory_20260605_140939,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J1_SegmentLocal_20260605_141732,"Protocol B",21.13967376633688,37.27246637035813,18.370451627361604,31.570673045769002,115.75537145707915,71.17683338104271,0.7963470319634703,0.7831889487239523,0.0,0.3186069021199669,REJECT,"Rejected under J1: segment-local rolling stats improved positive-direction recall slightly but regressed both primary raw metrics and worsened 9-16 performance materially versus the accepted residual-history baseline.","Switch to a different J1 family; do not tune segment-local rolling-stat variants further."
J1_FORECAST_PRESSURE_A0_V1,2026-06-05T14:19:14,J1,forecast_pressure_interactions,"Forecast pressure interaction features may expose supply-demand stress and improve difficult 9-16 price deviations.","Forecast-pressure interaction feature family","SGDFNet/configs/protocol_b_a0_j1_forecast_pressure_v1.yaml",outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J1_ResidualHistory_20260605_140939,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J1_ForecastPressure_20260605_141914,"Protocol B",20.978122613272358,36.783867884650356,18.213142559488933,31.16617467183654,115.57577924836411,70.40114257452558,0.7984018264840183,0.7799110278623274,0.0,0.1570557490554458,REJECT,"Rejected under J1: forecast-pressure interactions improved direction diagnostics slightly but still regressed both primary raw metrics relative to the accepted residual-history baseline.","J1 feature-family search is exhausted for now; switch to J2 strong-baseline objective changes."
J2_TAIL_WEIGHTED_A0_V1,2026-06-05T14:22:13,J2,tail_weighted_objective,"Upweighting train-tail delta samples may improve hard-regime price errors enough to justify a stronger baseline objective.","Tail-weighted training objective","SGDFNet/configs/protocol_b_a0_j2_tail_weighted_v1.yaml",outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J1_ResidualHistory_20260605_140939,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_TailWeighted_20260605_142213,"Protocol B",21.717262366488924,38.802411717666814,18.75582364603568,32.569686205366004,104.61908192763008,65.31978911100643,0.791095890410959,0.7766331070007024,0.0,0.8961955022720114,REJECT,"Rejected under J2: tail weighting delivered a strong tail win but materially worsened both primary raw metrics and the 9-16 segment metric versus the accepted residual-history baseline.","Keep the tail-weighting evidence as a diagnostic, but switch to a different J2 baseline mechanism."
J2_SEGMENT_CONDITIONED_A0_V1,2026-06-05T14:25:14,J2,segment_conditioned_baseline,"Training separate regressors by segment may stop easy segments from dominating the difficult 9-16 block.","Segment-conditioned baseline structure","SGDFNet/configs/protocol_b_a0_j2_segment_conditioned_v1.yaml",outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J1_ResidualHistory_20260605_140939,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_SegmentConditioned_20260605_142514,"Protocol B",22.024968847948358,39.09557947216159,19.02986997984416,32.927632397346635,118.62802771910711,72.11850096204977,0.7899543378995434,0.7663310700070242,0.0,1.2039019837314447,REJECT,"Rejected under J2: segment-conditioned regressors degraded every major metric, including overall RT SMAPE, 9-16 RT SMAPE, capped metrics, and tail metrics.","Do not continue segment-conditioned variants in this form; checkpoint J2 and switch to a different objective family."
J2_ASYMMETRIC_LOSS_A0_V1,2026-06-05T14:29:58,J2,asymmetric_quantile_loss,"A mild asymmetric quantile objective may improve difficult positive-deviation behavior without the collateral damage of global tail weighting.","Asymmetric quantile loss","SGDFNet/configs/protocol_b_a0_j2_asymmetric_loss_v1.yaml",outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J1_ResidualHistory_20260605_140939,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_AsymmetricLoss_20260605_142958,"Protocol B",21.69885570007526,38.276707112745356,18.872276932727008,32.57075857367845,119.46148808736531,72.94908703435812,0.7889269406392694,0.8611566377897448,0.0,0.8777888358583488,REJECT,"Rejected under J2: asymmetric quantile loss sharply improved positive-direction recall but still regressed both primary raw metrics, the 9-16 segment metric, capped metrics, and tail metrics relative to the accepted residual-history baseline.","Do not continue asymmetric-loss variants in this form; switch to a validation-calibrated post-fit repair branch."
J2_VAL_SEGMENT_BIAS_A0_V1,2026-06-05T14:32:30,J2,val_segment_bias_calibration,"A tiny validation-only 9-16 segment bias correction may recover price metrics without the collateral damage seen in objective-level changes.","Validation-only 9-16 segment bias calibration","SGDFNet/configs/protocol_b_a0_j2_val_segment_bias_v1.yaml",outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J1_ResidualHistory_20260605_140939,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_ValSegmentBias_20260605_143230,"Protocol B",20.792515990927175,36.343056642225086,18.111625215245596,30.847423831384308,115.43405026241987,70.62293136461057,0.7962328767123288,0.7955982205572465,0.0,-0.02855087328973852,KEEP,"Kept under J2 because the validation-only 9-16 bias calibration improved both primary raw metrics and both capped metrics relative to the accepted residual-history baseline, while also improving positive-direction recall. Tail metrics were effectively flat-to-slightly worse, so this is a modest but valid baseline upgrade.","Use the val-segment-bias baseline as the new anchor and test a more targeted validation-calibrated direction repair next."
J2_VAL_ALL_SEGMENT_BIAS_A0_V1,2026-06-05T14:37:58,J2,val_all_segment_bias_calibration,"If validation-only bias correction is real signal rather than luck, extending it to all segments might preserve the 9-16 gain and improve the rest of the day too.","Validation-only all-segment bias calibration","SGDFNet/configs/protocol_b_a0_j2_val_all_segment_bias_v1.yaml",outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_ValSegmentBias_20260605_143230,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_ValAllSegmentBias_20260605_143758,"Protocol B",20.832889532944062,36.343056642225086,18.14839863359638,30.847423831384308,115.28805590427895,70.58566739382816,0.7953196347031963,0.7960664949660501,0.0,0.04037354201688715,REJECT,"Rejected under J2: extending validation-only bias calibration to all segments held the 9-16 metric flat but gave back overall raw and capped SMAPE relative to the accepted 9-16-only bias baseline. Tail metrics improved only trivially and do not outweigh the primary regression.","Keep the 9-16-only bias baseline as the accepted anchor and move to a more targeted direction-calibration branch."
J2_VAL_DIRECTION_BIAS_A0_V1,2026-06-05T14:42:06,J2,val_direction_bias_calibration,"Within the 9-16 block, separate validation-only bias estimates for predicted-positive and predicted-nonpositive deltas may improve directional behavior without giving up the accepted 9-16 bias gain.","Validation-only 9-16 sign-aware bias calibration","SGDFNet/configs/protocol_b_a0_j2_val_direction_bias_v1.yaml",outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_ValSegmentBias_20260605_143230,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_ValDirectionBias_20260605_144206,"Protocol B",20.868581133638752,36.57125207035982,18.16363111155155,31.00344152030216,114.63640832924165,70.24924758948264,0.795662100456621,0.7963006321704519,0.0,0.07606514271157727,REJECT,"Rejected under J2: direction-aware 9-16 calibration improved tail metrics slightly, but it regressed both primary raw metrics and both capped metrics relative to the accepted 9-16-only bias baseline.","Keep the simpler 9-16-only bias baseline and move to threshold sensitivity or another narrow validation-side repair."
J2_VAL_THRESHOLD_BIAS_A0_V1,2026-06-05T14:46:02,J2,val_threshold_bias_calibration,"If the accepted 9-16 bias gain comes mainly from larger predicted deviations, applying the correction only above a validation-derived magnitude threshold may keep the win while reducing collateral drift.","Validation-only thresholded 9-16 bias calibration","SGDFNet/configs/protocol_b_a0_j2_val_threshold_bias_v1.yaml",outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_ValSegmentBias_20260605_143230,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_ValThresholdBias_20260605_144602,"Protocol B",20.87938227616951,36.60365549795209,18.172306497649018,31.02946767859456,115.1826523029186,70.56839920517785,0.7958904109589041,0.7656286583938188,0.0,0.08686628524233608,REJECT,"Rejected under J2: thresholding the 9-16 calibration slightly helped tail metrics, but regressed both primary raw metrics and both capped metrics relative to the accepted full 9-16 bias baseline.","Keep the simpler full 9-16 bias baseline and move to another narrow validation-side sensitivity branch."
J2_VAL_RECENT_BIAS_A0_V1,2026-06-05T14:49:18,J2,val_recent_bias_calibration,"If regime drift inside the validation month matters, using only the most recent validation days for 9-16 bias estimation may sharpen the accepted calibration.","Validation-only recent-window 9-16 bias calibration","SGDFNet/configs/protocol_b_a0_j2_val_recent_bias_v1.yaml",outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_ValSegmentBias_20260605_143230,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_ValRecentBias_20260605_144918,"Protocol B",20.998786074328507,36.96186689242908,18.23646536544061,31.221944281969332,115.38581693903791,70.76036649245586,0.7924657534246575,0.7913837508780145,0.0,0.2062700834013321,REJECT,"Rejected under J2: restricting the 9-16 bias estimate to the most recent validation week materially worsened both primary raw metrics and both capped metrics relative to the accepted full-validation 9-16 bias baseline.","Keep the full-validation 9-16 bias baseline and move to another narrow calibration sensitivity branch."
J2_VAL_MEAN_BIAS_A0_V1,2026-06-05T14:52:47,J2,val_mean_bias_calibration,"If the accepted 9-16 calibration is really about average residual shift rather than robust center shift, replacing the median bias with a mean bias may improve the repair.","Validation-only mean 9-16 bias calibration","SGDFNet/configs/protocol_b_a0_j2_val_mean_bias_v1.yaml",outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_ValSegmentBias_20260605_143230,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_ValMeanBias_20260605_145247,"Protocol B",21.810652235012235,39.39746537448026,19.111519867872005,33.84710778926351,114.71946991447794,70.30724186808158,0.7734018264840182,0.804729571528916,0.0,1.0181362440850597,REJECT,"Rejected under J2: switching the 9-16 calibration reducer from median to mean caused a broad collapse in primary raw metrics, capped metrics, and direction accuracy. Tail metrics improved slightly, but the tradeoff is far too severe.","Keep the median-based 9-16 bias baseline and do not continue mean-based calibration in this family."
J2_VAL_BIAS_TAIL_A0_V1,2026-06-05T14:56:01,J2,val_bias_plus_tail_sensitivity,"If the accepted 9-16 median bias is compatible with only a very mild tail emphasis, a small tail weight may recover some tail error without sacrificing the primary hierarchy.","Validation-only 9-16 bias plus mild tail weighting","SGDFNet/configs/protocol_b_a0_j2_val_bias_tail_v1.yaml",outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_ValSegmentBias_20260605_143230,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_ValBiasTail_20260605_145601,"Protocol B",20.92948932268913,36.67763924761641,18.2068892788602,31.07105062334769,112.72904338805024,69.26056673368934,0.7962328767123288,0.806836806368532,0.0,0.13697333176195417,REJECT,"Rejected under J2: even a mild tail weight combined with the accepted 9-16 bias repair materially regressed both primary raw metrics and both capped metrics, despite yielding clear top-tail gains.","Preserve the pure median 9-16 bias baseline as the accepted anchor and treat bias-plus-tail as a diagnostic rather than a release candidate."
J2_VAL_Q40_BIAS_A0_V1,2026-06-05T14:59:47,J2,val_q40_bias_calibration,"If the accepted 9-16 calibration should lean slightly toward one side of the residual distribution rather than the exact median, a q=0.40 residual bias may outperform the median-based repair.","Validation-only q40 9-16 bias calibration","SGDFNet/configs/protocol_b_a0_j2_val_q40_bias_v1.yaml",outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_ValSegmentBias_20260605_143230,outputs/RT916_SpikeMarketLab/experiments/SGDFNet_ProtocolB_A0_J2_ValQ40Bias_20260605_145947,"Protocol B",21.094225571276986,37.24818538327453,18.288622805226975,31.378416601328425,115.15539644755457,70.67646963092614,0.7856164383561643,0.7574338562397565,0.0,0.3017095803498112,REJECT,"Rejected under J2: moving the 9-16 calibration reducer from the median to a q=0.40 residual quantile materially worsened both primary raw metrics, both capped metrics, and directional metrics relative to the accepted median-based baseline.","Keep the median-based 9-16 bias baseline and treat residual-quantile skewing as exhausted for now."
